Country,OrgName,OrgType,Description,Amount
Türkiye,Association for Social Development and Aid Mobilization,NGO,ASAM WP,"1,110,061.44"
Türkiye,Ihsan Relief and Development,NGO,Ihsan RD 2023 Work Plan,"4,039,703.53"
Türkiye,KAMER Foundation,NGO,KAMER Work Plan,"655,287.26"
Türkiye,Mother Child Education Foundation,NGO,Mother Child Education Foundation Workplan,"124,453.24"
Türkiye,Sabanci University,NGO,Teachers Network,"101,119.44"
Türkiye,Kirmizi Semsiye Cinsel Saglik ve Insan Haklari Dernegi (Red Umbrella Sexual Health and Human Rights Association),NGO,Red Umbrella Work Plan,"429,684.76"
Türkiye,Türkiye Aile Sagligi ve Planlamasi Vakfi (Turkish Family Health and Planning Foundation),NGO,TAPV Workplan,"114,053.22"
Türkiye,Saglikta Genc Yaklasimlar Dernegi (Youth Approaches to Health Association (YAHAD)),NGO,Saglikta Genc Yaklasimlar Dernegi Workplan,"1,101,484.57"
Türkiye,Positive Living Association,NGO,Positive Living Association Work Plan,"2,837,196.46"
Türkiye,Association of Public Health Experts (HASUDER),NGO,HASUDER Work Plan,"124,895.57"
Türkiye,Sivil Toplum Gelistirme Merkezi Dernegi (Civil Society Development Center),NGO,Civil Society Development Center Workplan,"176,185.35"
Türkiye,Relief International,NGO,RI 2023 Work Plan,"2,696,827.57"
Türkiye,Dünya Doktorlari Dernegi (Médecins du Monde),NGO,MDM WP,"196,122.12"
Ukraine,International Organization for Migration,UN,Joint Partnership between UNFPA and IOM for Cash Assistance to Pregnant and Lactating Women,"544,161.71"
Ukraine,Kyiv City Center for Gender Equality,Government,"WP with Kyiv City Center for Gender Equality, Prevention and Combating Violence(Rev. 2)","111,822.12"
Ukraine,State Statistics Service of Ukraine,Government,WP with State Statistics Service of Ukraine (Rev#1),"62,837.85"
Ukraine,East European Institute for Reproductive Health (EEIRH),NGO,"2023 Work Plan with the East European Institute for Reproductive Health, Rev#1","61,018.28"
Ukraine,"International Charitable Fund ""Ukrainian Women's Fund""",NGO,"WP with ICF ""Ukrainian Women's Fund"" Rev3 FC","370,444.29"
Ukraine,"Charity Foundation ""Women's Health & Family Planning""",NGO,"Work Plan with the CF ""Women Health & Family Planning"" Rev9","1,114,318.98"
Ukraine,"Civil Society Organization ""La Strada-Ukraine""",NGO,"Work Plan with the CSO ""La Strada Ukraine"" (Rev.4)","191,383.27"
Ukraine,"Public organization ""EdCamp Ukraine""",NGO,Work plan with EdCamp Ukraine_Rev.4,"181,013.35"
Ukraine,"Charitable Organization ""All-Ukrainian Network of People Living with HIV/AIDS""",NGO,"WP with CO ""All Ukrainian Network PLWH"" Rev.7","1,528,271.27"
Ukraine,"Non-governmental Organization ""Internews Ukraine""",NGO,Work plan with Internews Ukraine_Rev3,"124,779.13"
Ukraine,Women’s League of Donnechyna,NGO,"Work Plan with the Women’s League of Donnechyna, Rev # 4","125,988.67"
Ukraine,"Non-governmental Organization ""Innovative Social Solutions""",NGO,"Work plan with NGO ""Innovative Social Solutions"" (Rev. #8)","5,437,303.95"
Ukraine,"Charity Fund ""Butterfly""",NGO,2023 Work Plan with the CF «Butterfly»_Rev8,"2,434,841.99"
Ukraine,"Youth Non-governmental Organization ""MOLODIZH""",NGO,"WP with Youth NGO ""MOLODIZH"" (Rev.10)","583,403.79"
Ukraine,"Charity Fund ""Posmishka UA""",NGO,"Work Plan with the CF ""Posmishka UA"", (Rev#6)","1,276,235.98"
Ukraine,"Public Organization ""Public Movement ""Faith, Hope, Love""",NGO,"Work plan with PO PM ""Faith, Hope, Love"", (Rev#7)","2,088,199.58"
Ukraine,"Charitable Organization ""Youth Charitable Fund ""Initiative""",NGO,"Work plan with CO YCF ""Initiative"", Rev8","3,906,058.02"
Ukraine,"Charitable Foundation ""Beetroot Academy""",NGO,"2023 Work Plan with the Charitable organisation""CF Beetroot Academy"", Rev#1","127,657.58"
Ukraine,"Non-governmental Organization ""M.ART.IN-club""",NGO,"2023 Work Plan with the NGO ""M.ART.IN-club"" Rev7","1,236,110.98"
Ukraine,"Non-governmental Organization ""Neemia""",NGO,2023 Work Plan with the NGO Neemia_Rev5,"742,008.30"
