Country,OrgName,OrgType,Description,Amount
Mozambique,SEJE - Secretaria de Estado da Juventude e Emprego,Government,2023 Workplan between Secretaria de Estado da Juventude e Emprego and UNFPA_BR3,"90,054.53"
Mozambique,DPS - Direcção Provincial de Saúde de Gaza,Government,Plano de Trabalho entre DPS Gaza e o UNFPA,"68,500.01"
Mozambique,DPS - Direcção Provincial de Saúde de Sofala,Government,Plano de Trabalho DPS Sofala e UNFPA Revisao #2,"243,170.52"
Mozambique,Serviço Provincial de Saúde de Tete,Government,Plano de Trabalho entre UNFPA e SPS Tete #1,"54,195.56"
Mozambique,DPS - Direcção Provincial de Saúde da Zambezia,Government,Plano Anual de Trabalho entre UNFPA e DPS Zambezia 2023 - Revisão 6,"183,561.75"
Mozambique,DPS Nampula - Direcção Provincial de Saúde de Nampula,Government,Plano de Trabalho entre DPS Nampula e UNFPA 2023 -Revisão IV,"110,566.90"
Mozambique,DPS - Direcção Provincial de Saúde de Niassa,Government,Plano de Trabalho entre UNFPA e DPS Niassa - Revisão 2,"328,127.53"
Mozambique,DPS - Direcção Provincial de Saúde de Cabo Delgado,Government,3ª Revisão do Plano de Trabalho entre a DPS Cabo Delgado e o UNFPA,"346,620.46"
Mozambique,INE - Instituto Nacional de Estatística,Government,Plano de Trabalho entre o Instituto Nacional de Estatística (INE) e o Fundo das Nações Unidas para População - Revisão 3,"800,183.14"
Mozambique,CMAM - Central de Medicamentos e Artigos Médicos,Government,Revisão 2 Plano de Trabalho entre UNFPA e CMAM,"206,823.00"
Mozambique,DPS Manica - Direcção Provincial de Saúde de Manica,Government,Revisão II Plano de Trabalho entre DPS Manica e o UNFPA #2,"138,003.68"
Mozambique,Conselho Nacional de Combate ao SIDA,Government,2023 Plano de Trabalho entre UNFPA e CNCS,"75,069.61"
Mozambique,SPS Nampula - Serviços Provinciais de Saúde de Nampula,Government,Plano de Trabalho entre SPS Nampula e UNFPA 2023 - Revisão 4,"230,174.49"
Mozambique,Direcção Provincial do Plano e Finanças de Nampula,Government,IV Revisão do Plano de Trabalho entre a Direcção Provincial de Plano e Finanças de Nampula e o UNFPA 2023,"54,641.54"
Mozambique,SPS Cabo Delgado - Serviços Provinciais de Saúde de Cabo Delgado,Government,Revisão 4 do Plano de Trabalho entre a SPS Cabo Delgado e o UNFPA,"204,557.37"
Mozambique,DPS Tete - Direcção Provincial de Saúde de Tete,Government,Plano anual de trabalho entre o UNFPA e a Direcção Provincial de Saúde de Tete 2023,"70,598.89"
Mozambique,"DPGCAS Cabo Delgado - Direcção Provincial de Género, Criança e Acção Social de Cabo Delgado",Government,"Revisão 3 do Plano anual de Trabalho entre Direcção Provincial de Género, Criança e Acção Social de Cabo Delgado e UNFPA","103,085.98"
Mozambique,Instituto de Ciências de Saúde de Infulene,Government,Plano de Trabalho entre UNFPA e ICS de Infulene,"118,249.72"
Mozambique,Associação Moçambicana para o Desenvolvimento da Família,NGO,Plano de Trabalho de 2023 entre UNFPA e AMODEFA,"694,921.42"
Mozambique,Núcleo das Associações Femininas da Zambézia,NGO,NAFEZA and UNFPA 2023 BR 1,"172,540.86"
Mozambique,Associação Colaição da Juventude Moçambicana,NGO,COLAZO 2023 WORK PLAN- Revision 5,"1,175,426.07"
Mozambique,DKT Mozambique,NGO,Plano de trabalho entre o UNFPA e DKT Mozambique 2023 - Revisão 3,"212,474.87"
Mozambique,Fundação para o Desenvolvimento da Comunidade,NGO,WP Between FDC and UNFPA - AWP BR5,"528,760.82"
Mozambique,Fundação WiWANNA,NGO,Plano Anual de Trabalho Fundação Wiwanna,"240,108.12"
Mozambique,Médicos com África (CUAMM),NGO,Annual work plan with UNFPA and CUAMM,"327,378.79"
Mozambique,Associazione Italiana Amici di Raoul Follereau (AIFO),NGO,UNFPA - AIFO 2023 Workplan Revision 2,"154,558.71"
Mozambique,Associação Juvenil Kutenga,NGO,Plano Anual de Trabalho_Kutenga & UNFPA 2023_Revision IV_to add SYP_CHASE Funds,"471,377.55"
Mozambique,Associação Homens Pela Mudança,NGO,HOPEM Annual Workplan 2023 - BR3,"224,338.59"
Mozambique,Good Neighbors Mozambique,NGO,Workplan with UNFPA and Good Neighbors BR#4,"159,725.19"
Mozambique,Consorzio Associazioni con il Mozambico,NGO,Work plan with UNFPA and Consorcio Associações com Mocambique Revision 2,"77,730.55"
Mozambique,"Associacao Mulher, Lei e Desenvolvimento",NGO,Plano de trabalho entre MULEIDE e UNFPA Revisao #02,"367,995.08"
Mozambique,Regional Psychosocial Support Initiative,NGO,REPSSI 2023 Annual Work Plan - Revision 3,"251,305.90"
Mozambique,Girl Child Rights,NGO,Plano de Trabalho entre a Associação Girl Child Rights e UNFPA Revisao #01,"261,580.98"
Mozambique,ASCHA - Associação Sócio Cultural Horizonte Azul,NGO,Revisão II Plano Anual de Trabalho entre ASCHA e o UNFPA,"135,347.25"
Namibia,Ministry of Health and Social Services,Government,2023 7 Annual Work Plan for Ministry of Health and Social Services,"93,767.59"
Namibia,"Ministry of Education, Arts and Culture",Government,"Revision 3: Entry -Ministry of Education, Arts and Culture","58,655.63"
