Country,OrgName,OrgType,Description,Amount
Burkina Faso,World Food Programme (WFP),UN,Cash transfert dans la région du Sahel pour les personnes déplacées internes,"54,847.50"
Burkina Faso,Direction des Politiques de Population,Government,Plan de Travail 2023 Révisé N°2 de la Direction des Politiques de Population,"133,024.52"
Burkina Faso,Direction de la santé de la famille (ex DSME),Government,Plan de Travail Révisé 2023 de la Direction de la Sante de la Famille (Ex DSME),"564,268.33"
Burkina Faso,Programme d'Appui au Developpement Sanitaire,Government,"Appui aux Districts Sanitaires, Directions Régionales de la Santé et des Directions centrales pour la mise en œuvre des interventions de SR/SONU/PF/SRAJ/MGF/Mariage d'enfants/Humanitaire: Plan de travail annuel 2023 révisé","2,220,915.52"
Burkina Faso,Service de Santé des Armées,Government,Plan de Travail 2023 de la Direction Centrale du Service de Sante des Armees,"83,670.61"
Burkina Faso,Direction Générale de la Famille et de l'Enfant,Government,Plan de travail Annuel 2023 révisé N°1 de la Direction Générale de la Famille et de l'Enfant,"344,887.68"
Burkina Faso,"Direction de la promotion de l'éducation inclusive, de l'éducation des filles et du Genre (DPEIEFG)",Government,"Plan de Travail 2023 Révisé de la Direction de la Promotion de l'Education Inclusive, de l'Education des Filles et du Genre","71,257.18"
Burkina Faso,Japanese Organization for International Cooperation in Family Planning,NGO,JOICFP Work Plan 2023 Revised,"55,873.77"
Burkina Faso,Mwangaza Action,NGO,Plan de Travail 2023 Pour la Mise en Oeuvre du Projet Sante Mentale _Mwangaza Action,"64,199.21"
Burkina Faso,"Groupe d'Appui en Santé, Communication et Développement (GASCODE)",NGO,"Plan de Travail 2023 pour la Mise en Oeuvre du Projet Cohesion Sociale et Sante Mentale dans la Region du Centre-Nord, Burkina Faso","291,745.89"
Burkina Faso,L'Association Burkinabe pour le Bien-Etre Familial,NGO,Plan de Travail 2023 Revise 2 de l'Association Burkinabe pour le Bien-Etre Familial,"273,292.25"
Burkina Faso,Marie Stopes International,NGO,Plan de Travail Annuel 2023 Revise Marie Stopes Burkina Faso,"135,147.58"
Burkina Faso,Plan International Inc.,NGO,PTA 2023 Révisé Plan international,"167,381.41"
Burkina Faso,Association Tina-Tua,NGO,Plan de Travail 2023 Revise de Tin-Tua,"540,503.91"
Burkina Faso,Foundation KIMI,NGO,Plan de travail 2023 REVISE du Projet « Renforcement de la capacité des adolescents à exercer leurs droits en matiere de sante sexuelle et reproductive au Burkina Faso de 2020 à 2023 »,"126,134.41"
Burkina Faso,Abba’s International Healing Center,NGO,Plan de travail 2023 révisé 2 - Renforcement de l'accès des femmes et des filles vulnérables et des survivantes de VBG aux services multisectoriels qui sauvent des vies,"191,675.66"
Burkina Faso,"International Emergency and Development Aid (IEDA RELIEF), Inc.",NGO,"Plan de Travail 2023 N°2 de IEDA-Relief pour l'Offre de Service de la Sante de la Reproduction, de Planification Familiale et de VBG en Situation Humanitaire dans les Regions du Centre-Nord, du Nord, du Centre Est et du Sahel","261,571.97"
Burkina Faso,Norwegian Church Aid,NGO,Plan de travail 2023 : Projet de renforcement de l'offre de services de santé sexuelle et reproductive en situation humanitaire dans la région de la Boucle du Mouhoun,"51,442.31"
Burkina Faso,World Vision International,NGO,"Plan de Travail 2023 du projet : Droits fondamentaux, paix et égalité pour tous dans les régions du Sahel et du Nord au Burkina Faso","73,892.25"
Burkina Faso,Save the Children International,NGO,"Plan de Travail 2023 pour Promotion des Droits Fondamentaux, Paix et Egalites pour Tous dans les Regions du Sahel et du Nord au Burkina Faso","108,982.17"
Burkina Faso,United Nations Capital Development Fund (UNCDF),UN,Plan de Travail 2023 UNCDF,"137,564.72"
Cameroon,l'Institut National de la Statistique (INS),Government,2023 de Travail entre UNFPA et l'Institut National de la Statistique (INS) pour l'Annee 2023 Revise 2,"106,645.00"
Cameroon,"Department of Family Health, Ministry of Public Health",Government,Plan de Travail 2023 entre UNFPA et la Direction de la Sante Familiale du Ministere de la Sante Publique (Révision No 4),"310,365.45"
Cameroon,Délégation Régionale de la Santé Publique de L'Est,Government,Plan de Travail entre UNFPA et la Delegation Regionale de la Sante Publique de L'Est (DRSPE) Pour L'Annee 2023,"53,256.41"
