Country,OrgName,OrgType,Description,Amount
Democratic Republic of the Congo,INTERSOS,NGO,Plan de Travail Annuel 2023 entre INTERSOS et le Fonds des Nations Unies pour la Population,"821,671.71"
Democratic Republic of the Congo,Caritas Developpement Butembo-Beni,NGO,Plan de travail 2023 entre Caritas Butembo Beni et le Fonds des Nations Unies pour la Population (UNFPA),"168,099.00"
Democratic Republic of the Congo,Fondation Panzi,NGO,Plan de Travail Annuel 2023 Revise entre Fondation Panzi et le Fonds des Nations Unies pour la Population,"235,775.62"
Democratic Republic of the Congo,Transcultural Psychosocial Organisation,NGO,Plan de Travail Annuel 2023 Revise entre Transcultural Psychosocial Organisation et le Fonds des Nations Unies pour la Population,"1,211,388.10"
Democratic Republic of the Congo,Caritas Développement du Diocèse de Bunia,NGO,Plan de Travail Annuel 2023 entre Caritas Bunia et le Fonds des Nations Unies pour la Population,"460,189.41"
Democratic Republic of the Congo,Association pour la Promotion et l'Eveil de la Femme,NGO,Plan de Travail Annuel 2023 entre Association pour la Promotion et l'Eveil de la Femme « APEF » et le Fonds des Nations Unies pour la Population,"174,510.00"
Democratic Republic of the Congo,Solidarité Féminine pour la Paix et le Développement Intégral,NGO,Plan de Travail 2023 REVISE entre SOFEPADI ET UNFPA,"947,857.56"
Democratic Republic of the Congo,Femmes Main dans la Main pour le Développement du Kasai,NGO,Plan de Travail Annuel 2023 entre Femmes Main dans la Main pour le Développement du Kasai et le Fonds des Nations Unies pour la Population,"210,595.96"
Democratic Republic of the Congo,Jeunesse en Action pour le Développement Durable (JADD),NGO,Plan de Travail Annuel 2023 entre UNFPA et Jeunesse et Développement Durable,"94,964.50"
Democratic Republic of the Congo,African Youth and Adolescents Network (AfriYAN) ASBL,NGO,Plan de Travail 2023 entre AfriYAN ASBL et le Fonds des Nations Unies pour la Population (UNFPA),"377,883.00"
Democratic Republic of the Congo,Action pour la Promotion de la Santé de la Mere et de l'Enfant,NGO,Plan de Travail Annuel 2023 entre Action pour la Promotion de la Santé de la Mere et de l'Enfant et les Fonds des Nations Unies pour la Population,"449,149.00"
Democratic Republic of the Congo,Centre d'Etudes et d'Actions Sociales,NGO,Plan de Travail Annuel 2023 Revise entre CENEAS et le Fonds des Nations Unies pour la Population,"1,073,113.88"
Democratic Republic of the Congo,World Vision International,NGO,Plan de Travail 2023 Revise Entre le Fonds des Nations Unies pour la Population (UNFPA) et World Vision,"1,643,862.09"
Democratic Republic of the Congo,Association de Sante Familiale,NGO,"Plan de Travail Annuel 2023 Revise entre Association pour la Sante Familiale ""ASF"" et le Fonds des Nations Unies pour la Population ""UNFPA""","515,649.68"
Democratic Republic of the Congo,SANRU (Soins de Santé primaires en milieu Rurale),NGO,Plan de Travail 2023 REVISE entre SANRU et le Fonds des Nations Unies pour la Population,"848,912.41"
Democratic Republic of the Congo,Enfant-Avenir,NGO,Plan de Travail Annuel 2023 entre Enfant Avenir et Fonds des Nations Unies pour la Population,"187,000.00"
Democratic Republic of the Congo,Communauté des Amis de la Nature et de la Culture (CANACU),NGO,Plan de Travail Annuel 2023 entre CANACU et le Fonds des Nations Unies pour la Population,"74,999.90"
Democratic Republic of the Congo,ActionAid,NGO,Plan de Travail Annuel 2023 entre Action Aid et le Fonds des Nations Unies pour la Population (UNFPA),"669,814.39"
Democratic Republic of the Congo,Action pour le Bien-être Communautaire,NGO,Plan de Travail Annuel 2023 entre Action pour le Bien-Être Communautaire (ABCom) et les Fonds des Nations Unies pour la Population (UNFPA),"260,205.50"
Democratic Republic of the Congo,Reseau d'Action pour le Developpement et Progres Integres (RADPI),NGO,Plan de Travail annuel 2023 révisé entre Réseau d'Action pour le Développement et Progrès Intégré (RADPI) et le Fonds des Nations Unies pour la Population,"358,141.21"
Democratic Republic of the Congo,Forum des Mamans de l'Ituri,NGO,Plan de travail 2023 entre Forum des Mamans de l'Ituri et le Fonds des Nations Unies pour la Population (UNFPA),"158,099.81"
Democratic Republic of the Congo,Focus Droits et Acces,NGO,Plan de travail 2023 entre Focus droits et acces et le Fonds des Nations Unies pour la Population (UNFPA),"259,694.00"
