Country,OrgName,OrgType,Description,Amount
Peru,Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos (PROMSEX),NGO,WP Perú II PROMSEX V 1.1,"69,706.32"
Peru,Asociación Benéfica Prisma,NGO,WP II Prisma 2023 V 1.0,"765,179.21"
Peru,Asociación Kallpa para la Promoción Integral de la Salud y el Desarrollo,NGO,WP II Kallpa 2023 V 1.2,"79,311.94"
Venezuela,Canadian Association of Midwives,NGO,"Mejorar los resultados de salud materna, neonatal y reproductiva de las poblaciones vulnerables que viven en el estado Zulia, a través de una atención respetuosa y de calidad. Versión 2","84,011.26"
Venezuela,Consejo Nacional para Personas con Discapacidad (CONAPDIS),Government,Fortalecimiento de capacidades nacionales para mejorar la respuesta institucional en materia de VBG y SSR con adolescentes y mujeres con discapacidad.,"76,131.48"
Venezuela,Fundación Instituto Venezolano Planificación Aplicada,Government,Planificación para el desarrollo sostenible,"50,000.00"
Venezuela,Asociación Civil Niña Madre,NGO,Mejorar el acceso a servicios de Salud Sexual y Reproductiva. Distrito Capital . Mejorar la atención de salud integral en adolescentes con énfasis en prevención de transmisión de VIH-Estándarizar calidad de atención adolescente,"356,107.28"
Venezuela,Asociación Civil de Planificación Familiar,NGO,Prevención y respuesta a la VBG en contextos de emergencia en el estado Miranda. Atención diferenciada integral para adolescentes y Construcción de Paz (V2),"101,219.58"
Venezuela,UNIANDES Acción Popular,NGO,Prevención y respuesta a la VBG en contextos de emergencia en los estados Táchira y Apure . Planificación familiar y VBG en el Estado Táchira,"266,855.11"
Venezuela,Aliadas en Cadena A.C,NGO,Prevención y respuesta a la VBG en contextos de emergencia en los estados Zulia y Miranda. Prevención de Embarazo en Adolescentes PRETA EIS V4,"428,497.24"
Venezuela,Comisión para los Derechos Humanos y la Ciudadanía (CODEHCIU),NGO,Prevención y respuesta a la VBG en contextos de emergencia en el estado Bolívar. Reforzamiento de capacidades de personal de salud en planificación familiar y VBG y Prevención de Embarazo en Adolescentes PRETA EIS. Versión 2,"391,040.15"
Venezuela,Fundación Ven Da Tu Mano,NGO,"Mejorar acceso a servicios de Salud Sexual y Reproductivo, con énfasis en el fortalecimiento de atención obstétrica de emergencia implementación del Protocolo Nacional de MCVS, P Familiar y VBG. Atención con orientación Intercultural","631,161.01"
Venezuela,Asociación Civil Construyendo Futuros,NGO,Prevención de Embarazo en Adolescentes PRETA EIS V2,"264,492.48"
Venezuela,Fundación Amigos del Niño que Amerita Protección,NGO,Prevención y Respuesta a la VBG en contextos de emergencia en los estados Miranda y Distrito Capital. Acciones reforzadas de personal de salud en VBG y planificación familiar 2,"175,567.38"
Venezuela,Asociación Civil Tinta Violeta,NGO,"Prevención y respuesta a la violencia basada en género en contextos de emergencia, estado Sucre","167,805.89"
Venezuela,Redes Integrales de Salud,NGO,"Mejorar los resultados de salud materna, neonatal y reproductiva de las poblaciones vulnerables que viven en el estado Zulia, a través de una atención respetuosa y de calidad, con enfoque intercultural","53,238.97"
Venezuela,Cesvi,NGO,Prevención del embarazo en adolescentes y escalamiento del uso del DIU en estado seleccionados. Version 2,"101,284.00"
Venezuela,UN Office for Project Services (UNOPS),UN,Servicios de Gestión de Personal para apoyo de la CO Ver3_1,"92,415.92"
West & Central Africa Regional Office,Population Council,NGO,Work Plan Between UNFPA and Population Council,"547,265.57"
West & Central Africa Regional Office,Equimundo: Center for Masculinities and Social Justice,NGO,"The Global Boyhood Initiative: For a generation of caring, equitable and non-violent boys","148,881.38"
West & Central Africa Regional Office,Equilibres et Populations (Equipop),NGO,Projet de lutte contre les violences gynécologiques et obstétricales (VGO) dans une perspective de genre au Sénégal,"90,062.00"
