Country,OrgName,OrgType,Description,Amount
Ukraine,"Non-governmental Organization ""Fishermen Club of Ukraine (FCU)""",NGO,"Work Plan with IP Uafishing club, Rev#6","540,216.98"
Ukraine,"Charitable Fund ""Institute for Child and Family Development""",NGO,WP with Institute for Child&Family Dev Rev9,"1,533,528.18"
Ukraine,"Non-governmental Organization ""Union of Anticorruption Experts""",NGO,WP with NGO UA-Experts (Rev.5),"837,003.25"
Ukraine,Association of Experts on Gender-Based Violence Prevention and Response,NGO,Work Plan with the NGO «Association of Experts in GBV Prevention and Response» (Rev.5),"2,202,444.52"
Ukraine,UN Office for Project Services (UNOPS),UN,UNOPS Specialized equipment to enable effective forensic examination of CRSV cases,"671,777.91"
East & Southern Africa Regional Office,Asian Population and Development Association (APDA),NGO,APDA : Leadership of African and Asian Parliamentarians in the implementation of ICPD25 commitments,"136,795.53"
East & Southern Africa Regional Office,Amref Health Africa,NGO,AMREF: Youth Power! Strengthening Africa’s response and Social Accountability for Sexual and Reproductive Health through Active Meaningful Youth Engagement,"215,076.00"
East & Southern Africa Regional Office,Equality Now,NGO,Regional and National Advocacy to Eradicate Child Marriage in East and Southern Africa,"376,872.04"
East & Southern Africa Regional Office,African Population and Health Research Center (APHRC),NGO,Spotlight Initiative Africa Regional Programme: APHRC together with UNFPA response to prevent violence against women and girls in East and Southern Africa,"206,026.90"
East & Southern Africa Regional Office,South African Medical Research Council (SAMRC),NGO,SAMRC: Support Demographic Surveillance Sites (DSS) to track health seeking behaviors and experiences with the delivery of SRHR services during and after the COVID-19 pandemic. 2. Good Quality Essential Services for Survivors of Violence,"97,766.49"
East & Southern Africa Regional Office,African Technology Innovation Hubs Initiative,NGO,Afrilabs Implementation of Incubation programme : UNFPA Early and Unintended Pregnancies (EUP) HackLab and Female Genital Mutilation (FGM) Stretch Hubs Projects,"224,071.26"
Angola,Ministério da Juventude e Desportos,Government,Adolescentes e Jovens,"232,742.62"
Angola,Instituto Nacional de Estatística,Government,Apoio ao Instituto Nacional de Estatística,"130,269.46"
Angola,Centro de Apoio aos Jovens,NGO,Reforço das Capacidades das Organizações Lideradas por Jovens e Empoderamento de Raparigas,"425,737.07"
Angola,Associação Mwana Pwo,NGO,Empowering Girls Learning For all - PATII,"131,624.86"
Angola,World Vision International,NGO,Improving Health Information System in Humanitarian Settings and Empowering Girls at School,"350,348.96"
Angola,"Trauma Resource Institute, Inc.",NGO,"Safeguard Young People (SYP) Programme Project in Angola, Community Resilience Model (CRM)™ Training","121,136.25"
Burundi,Ministere de la Sante,Government,Plan de travail 2023 avec le Ministère de la Santé Publique et de la Lutte contre le SIDA - ABREMA,"1,187,090.19"
Burundi,Ministère du Genre,Government,"Plan de Travail Annuel 2023 avec le Ministère de la Solidarité Nationale , des Affaires Sociales , des Droits de la Personne Humaine et du Genre","67,017.03"
Burundi,Association Burundaise pour le Bien Etre Familial,NGO,"Plan de Travail 2023 avec l'Association Burundaise pour le Bien Etre Familial ""ABUBEF""","206,619.77"
Burundi,Initiative Seruka pour les victimes de Viol,NGO,Plan de Travail Annuel 2023 avec le Centre SERUKA,"52,292.35"
Burundi,Stichting Iplusolutions,NGO,Plan de travail 2022 -2023,"96,637.39"
Burundi,ALUXFIN Burundi,NGO,Plan de travail annuel révisé pour 2023 avec Auxfin Burundi,"188,088.33"
Comoros,"Ministère de la Santé, de la Solidarité, de la Protection Sociale et de la Promotion du Genre",Government,Plan de Travail Annuel Santé de la Reproduction 2023,"138,458.37"
