Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
562416,295390,0,267026,0,0.99,0.01,Adolescents,afghanistan,2017,Afghanistan
3757192,3659421,0,97771,0,0.15,0.85,Data for development,afghanistan,2017,Afghanistan
3944977,1294964,0,2650013,0,0.12,0.88,Gender equality and rights,afghanistan,2017,Afghanistan
4367730,2284719,0,2083011,0,0.45,0.55,Integrated sexual and reproductive health,afghanistan,2017,Afghanistan
163491,119437,0,44054,0,1.0,0.94,Organizational effectiveness and efficiency,afghanistan,2017,Afghanistan
100806,6006,61488,33312,0,0.96,0.04,Adolescents,albania,2017,Albania
457723,10754,0,446970,0,0.09,0.91,Data for development,albania,2017,Albania
270478,147608,0,122870,0,0.66,0.34,Gender equality and rights,albania,2017,Albania
369376,274619,0,94757,0,0.36,0.64,Integrated sexual and reproductive health,albania,2017,Albania
54191,54191,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,albania,2017,Albania
65520,65520,0,0,0,1.0,0.0,Adolescents,algeria,2017,Algeria
2718,2718,0,0,0,1.0,0.0,Data for development,algeria,2017,Algeria
42170,42170,0,0,0,0.96,0.04,Gender equality and rights,algeria,2017,Algeria
88158,89417,0,0,0,1.01,-0.01,Integrated sexual and reproductive health,algeria,2017,Algeria
354961,268043,68637,18282,0,0.37,0.63,Adolescents,angola,2017,Angola
401355,377571,23784,0,0,1.0,0.0,Data for development,angola,2017,Angola
358152,339342,18810,0,0,0.78,0.22,Gender equality and rights,angola,2017,Angola
1353511,1089070,69129,195312,0,0.71,0.29,Integrated sexual and reproductive health,angola,2017,Angola
65528,65528,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,angola,2017,Angola
59043,59043,0,0,0,0.99,0.01,Adolescents,argentina,2017,Argentina
31015,31015,0,0,0,1.0,0.0,Data for development,argentina,2017,Argentina
11940,11940,0,0,0,-0.0,1.0,Gender equality and rights,argentina,2017,Argentina
11816,11816,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,argentina,2017,Argentina
29050,29050,0,0,0,1.0,0.0,Adolescents,armenia,2017,Armenia
149952,149952,0,0,0,1.0,0.0,Data for development,armenia,2017,Armenia
259173,167479,0,91694,0,0.48,0.52,Gender equality and rights,armenia,2017,Armenia
169330,169330,0,0,0,1.0,0.0,Integrated sexual and reproductive health,armenia,2017,Armenia
222637,222637,0,0,0,0.4,0.6,Data for development,azerbaijan,2017,Azerbaijan
501632,501632,0,0,0,0.25,0.75,Gender equality and rights,azerbaijan,2017,Azerbaijan
130124,130124,0,0,0,1.0,0.0,Integrated sexual and reproductive health,azerbaijan,2017,Azerbaijan
2544530,879111,430979,1234440,0,0.23,0.77,Adolescents,bangladesh,2017,Bangladesh
531699,354429,177270,0,0,0.9,0.1,Data for development,bangladesh,2017,Bangladesh
2940484,2137260,107535,695689,0,0.47,0.53,Gender equality and rights,bangladesh,2017,Bangladesh
7138060,3832317,1236191,2069552,0,0.37,0.63,Integrated sexual and reproductive health,bangladesh,2017,Bangladesh
162904,162904,0,0,0,0.52,0.48,Organizational effectiveness and efficiency,bangladesh,2017,Bangladesh
65317,65317,0,0,0,1.0,0.0,Adolescents,belarus,2017,Belarus
527599,412959,114640,0,0,0.25,0.75,Data for development,belarus,2017,Belarus
295049,264749,15741,14558,0,0.0,1.0,Gender equality and rights,belarus,2017,Belarus
110957,110957,0,0,0,0.79,0.21,Integrated sexual and reproductive health,belarus,2017,Belarus
10260,10260,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,belarus,2017,Belarus
383617,43707,74405,265505,0,-0.0,1.0,Adolescents,benin,2017,Benin
155617,115296,40320,0,0,1.0,0.0,Data for development,benin,2017,Benin
288806,70583,57973,160250,0,0.44,0.56,Gender equality and rights,benin,2017,Benin
2258961,1817240,197540,223699,20482,0.52,0.48,Integrated sexual and reproductive health,benin,2017,Benin
125506,47865,77641,0,0,1.0,0.0,Adolescents,bhutan,2017,Bhutan
34059,3633,30426,0,0,1.0,0.0,Data for development,bhutan,2017,Bhutan
117368,17357,12315,87695,0,1.0,0.0,Gender equality and rights,bhutan,2017,Bhutan
269816,179224,90591,0,0,1.0,0.0,Integrated sexual and reproductive health,bhutan,2017,Bhutan
1923,0,0,1923,0,1.0,0.0,Organizational effectiveness and efficiency,bhutan,2017,Bhutan
657565,510986,99793,46786,0,0.34,0.66,Adolescents,bolivia,2017,Bolivia (Plurinational State of)
299014,239749,59265,0,0,0.94,0.06,Data for development,bolivia,2017,Bolivia (Plurinational State of)
963000,651688,88138,223175,0,0.18,0.82,Gender equality and rights,bolivia,2017,Bolivia (Plurinational State of)
852036,408707,86865,356464,0,0.27,0.73,Integrated sexual and reproductive health,bolivia,2017,Bolivia (Plurinational State of)
38597,28599,0,9998,0,1.0,0.0,Adolescents,bosnia-herzegovina,2017,Bosnia and Herzegovina
110483,109734,0,749,0,0.9,0.1,Data for development,bosnia-herzegovina,2017,Bosnia and Herzegovina
220238,141346,0,78892,0,0.05,0.95,Gender equality and rights,bosnia-herzegovina,2017,Bosnia and Herzegovina
260129,184834,0,75295,0,0.99,0.01,Integrated sexual and reproductive health,bosnia-herzegovina,2017,Bosnia and Herzegovina
3396,3396,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,bosnia-herzegovina,2017,Bosnia and Herzegovina
293695,293695,0,0,0,0.65,0.35,Adolescents,botswana,2017,Botswana
134169,134169,0,0,0,0.97,0.03,Data for development,botswana,2017,Botswana
7033,7033,0,0,0,1.0,-0.0,Gender equality and rights,botswana,2017,Botswana
436185,436185,0,0,0,0.39,0.61,Integrated sexual and reproductive health,botswana,2017,Botswana
281726,281726,0,0,0,0.97,0.03,Adolescents,brazil,2017,Brazil
581919,500571,0,81348,0,0.45,0.55,Data for development,brazil,2017,Brazil
78853,78853,0,0,0,1.4,0.06,Gender equality and rights,brazil,2017,Brazil
472084,472081,0,3,0,0.97,0.03,Integrated sexual and reproductive health,brazil,2017,Brazil
740807,363684,98912,278211,0,0.46,0.54,Adolescents,burkina-faso,2017,Burkina Faso
255424,119834,135590,0,0,0.64,0.36,Data for development,burkina-faso,2017,Burkina Faso
802273,285246,410138,106889,0,0.1,0.9,Gender equality and rights,burkina-faso,2017,Burkina Faso
5244064,3009229,1882567,352268,0,0.27,0.73,Integrated sexual and reproductive health,burkina-faso,2017,Burkina Faso
1427,1800,0,0,0,1.26,-0.26,Organizational effectiveness and efficiency,burkina-faso,2017,Burkina Faso
1551937,1128877,0,423060,0,0.26,0.74,Adolescents,burundi,2017,Burundi
