Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
763004,374096,0,388908,0,0.67,0.33,Empowerment of young people,afghanistan,2020,Afghanistan
4343804,1572345,0,2771459,0,0.09,0.91,Gender equality and empowerment of women and girls,afghanistan,2020,Afghanistan
24100,24100,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,afghanistan,2020,Afghanistan
672884,586760,0,86125,0,0.99,0.01,Population and development,afghanistan,2020,Afghanistan
7162975,2536203,0,4626772,0,0.28,0.72,Utilization of sexual and reproductive health services,afghanistan,2020,Afghanistan
431106,200548,36000,194558,0,0.53,0.47,Empowerment of young people,albania,2020,Albania
336346,92387,54000,189959,0,0.38,0.62,Gender equality and empowerment of women and girls,albania,2020,Albania
58616,34798,0,23818,0,0.41,0.59,Population and development,albania,2020,Albania
457623,173464,0,284159,0,0.85,0.15,Utilization of sexual and reproductive health services,albania,2020,Albania
20002,20002,0,0,0,1.0,0.0,Empowerment of young people,algeria,2020,Algeria
110552,110552,0,0,0,0.81,0.19,Gender equality and empowerment of women and girls,algeria,2020,Algeria
181783,181783,0,0,0,1.0,0.0,Population and development,algeria,2020,Algeria
215984,200045,15939,0,0,0.92,0.08,Utilization of sexual and reproductive health services,algeria,2020,Algeria
626962,531660,71731,23571,0,0.91,0.09,Empowerment of young people,angola,2020,Angola
999287,970882,28406,0,0,0.72,0.28,Gender equality and empowerment of women and girls,angola,2020,Angola
414579,345139,69440,0,0,1.0,0.0,Population and development,angola,2020,Angola
355832,308447,47385,0,0,1.0,0.0,Utilization of sexual and reproductive health services,angola,2020,Angola
17068,703,0,16365,0,0.7,0.3,Empowerment of young people,argentina,2020,Argentina
511698,273134,0,238563,0,0.01,0.99,Gender equality and empowerment of women and girls,argentina,2020,Argentina
18526,18526,0,0,0,1.0,0.0,Population and development,argentina,2020,Argentina
301441,258856,5414,37171,0,0.59,0.41,Utilization of sexual and reproductive health services,argentina,2020,Argentina
137411,80328,0,57083,0,0.92,0.08,Empowerment of young people,armenia,2020,Armenia
665968,448593,0,217375,0,0.22,0.78,Gender equality and empowerment of women and girls,armenia,2020,Armenia
440995,237577,70220,133198,0,0.55,0.45,Population and development,armenia,2020,Armenia
304324,304324,0,0,0,0.92,0.08,Utilization of sexual and reproductive health services,armenia,2020,Armenia
300,300,0,0,0,0.0,1.0,Empowerment of young people,azerbaijan,2020,Azerbaijan
304585,304585,0,0,0,0.63,0.37,Gender equality and empowerment of women and girls,azerbaijan,2020,Azerbaijan
311172,311172,0,0,0,0.86,0.14,Population and development,azerbaijan,2020,Azerbaijan
369210,369210,0,0,0,0.8,0.2,Utilization of sexual and reproductive health services,azerbaijan,2020,Azerbaijan
3039835,947274,363380,1729181,0,0.29,0.71,Empowerment of young people,bangladesh,2020,Bangladesh
9234967,4196140,208609,4830218,0,0.14,0.86,Gender equality and empowerment of women and girls,bangladesh,2020,Bangladesh
778174,553470,224704,0,0,0.93,0.07,Population and development,bangladesh,2020,Bangladesh
24142105,5670490,6568236,11571226,332154,0.06,0.94,Utilization of sexual and reproductive health services,bangladesh,2020,Bangladesh
12522,12522,0,0,0,1.0,0.0,Empowerment of young people,belarus,2020,Belarus
526605,500115,0,26490,0,0.4,0.6,Gender equality and empowerment of women and girls,belarus,2020,Belarus
119756,119756,0,0,0,0.99,0.01,Population and development,belarus,2020,Belarus
250712,250712,0,0,0,0.57,0.43,Utilization of sexual and reproductive health services,belarus,2020,Belarus
1044949,178412,553534,291393,21610,0.09,0.91,Empowerment of young people,benin,2020,Benin
128242,41267,61612,25362,0,0.77,0.23,Gender equality and empowerment of women and girls,benin,2020,Benin
920,0,0,920,0,0.0,1.0,Organizational effectiveness and efficiency,benin,2020,Benin
384220,233877,68424,81919,0,0.64,0.36,Population and development,benin,2020,Benin
3374872,2008268,490765,875839,0,0.33,0.67,Utilization of sexual and reproductive health services,benin,2020,Benin
361676,102628,74019,185028,0,0.79,0.21,Empowerment of young people,bhutan,2020,Bhutan
608784,82261,526523,0,0,0.71,0.29,Utilization of sexual and reproductive health services,bhutan,2020,Bhutan
716800,601499,46502,68799,0,0.31,0.69,Empowerment of young people,bolivia,2020,Bolivia (Plurinational State of)
