Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
516174,292196,0,223979,0,0.7,0.3,Empowerment of young people,afghanistan,2021,Afghanistan
5795119,2723435,0,3071684,0,0.29,0.71,Gender equality and empowerment of women and girls,afghanistan,2021,Afghanistan
628521,621632,0,6889,0,0.84,0.16,Population and development,afghanistan,2021,Afghanistan
6739989,2697609,0,4042380,0,0.4,0.6,Utilization of sexual and reproductive health services,afghanistan,2021,Afghanistan
443846,237429,30855,175562,0,0.49,0.51,Empowerment of young people,albania,2021,Albania
426683,158181,25000,243502,0,0.25,0.75,Gender equality and empowerment of women and girls,albania,2021,Albania
105400,24541,80859,0,0,0.57,0.43,Population and development,albania,2021,Albania
369904,233978,0,135926,0,0.88,0.12,Utilization of sexual and reproductive health services,albania,2021,Albania
44809,44809,0,0,0,1.0,0.0,Empowerment of young people,algeria,2021,Algeria
192830,122025,0,0,70805,0.42,0.58,Gender equality and empowerment of women and girls,algeria,2021,Algeria
164750,163650,1100,0,0,0.99,0.01,Population and development,algeria,2021,Algeria
106147,61050,45097,0,0,0.68,0.32,Utilization of sexual and reproductive health services,algeria,2021,Algeria
815801,704703,83921,27176,0,0.89,0.11,Empowerment of young people,angola,2021,Angola
470380,439836,30544,0,0,0.83,0.17,Gender equality and empowerment of women and girls,angola,2021,Angola
115,115,0,0,0,0.0,1.0,Organizational effectiveness and efficiency,angola,2021,Angola
506352,435996,70356,0,0,1.0,0.0,Population and development,angola,2021,Angola
1600679,1522460,68809,9409,0,0.21,0.79,Utilization of sexual and reproductive health services,angola,2021,Angola
30251,1253,0,28998,0,0.16,0.84,Empowerment of young people,argentina,2021,Argentina
645310,218594,0,426716,0,0.1,0.9,Gender equality and empowerment of women and girls,argentina,2021,Argentina
79868,79868,0,0,0,1.0,0.0,Population and development,argentina,2021,Argentina
249454,187156,0,62298,0,0.84,0.16,Utilization of sexual and reproductive health services,argentina,2021,Argentina
151963,151963,0,0,0,0.99,0.01,Empowerment of young people,armenia,2021,Armenia
502295,275781,0,226515,0,0.26,0.74,Gender equality and empowerment of women and girls,armenia,2021,Armenia
