Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
926171,395657,0,530514,0,0.58,0.42,Empowerment of young people,afghanistan,2019,Afghanistan
4682717,1520036,0,3162681,0,0.09,0.91,Gender equality and empowerment of women and girls,afghanistan,2019,Afghanistan
802741,649614,0,153127,0,0.95,0.05,Population and development,afghanistan,2019,Afghanistan
5910646,2188211,0,3722435,0,0.31,0.69,Utilization of sexual and reproductive health services,afghanistan,2019,Afghanistan
291213,104637,53231,133345,0,0.67,0.33,Empowerment of young people,albania,2019,Albania
158520,65295,10055,83170,0,0.42,0.58,Gender equality and empowerment of women and girls,albania,2019,Albania
280258,0,180000,100258,0,0.29,0.71,Population and development,albania,2019,Albania
326954,167702,0,159252,0,0.83,0.17,Utilization of sexual and reproductive health services,albania,2019,Albania
53621,53421,200,0,0,1.0,0.0,Empowerment of young people,algeria,2019,Algeria
132282,127721,0,4561,0,0.56,0.44,Gender equality and empowerment of women and girls,algeria,2019,Algeria
194023,134010,6013,0,54000,0.97,0.03,Population and development,algeria,2019,Algeria
131009,68615,62394,0,0,0.52,0.48,Utilization of sexual and reproductive health services,algeria,2019,Algeria
346855,253878,92977,0,0,0.88,0.12,Empowerment of young people,angola,2019,Angola
469711,443085,26626,0,0,0.88,0.12,Gender equality and empowerment of women and girls,angola,2019,Angola
581518,367681,213837,0,0,1.0,0.0,Population and development,angola,2019,Angola
1258132,1214444,43689,0,0,0.61,0.39,Utilization of sexual and reproductive health services,angola,2019,Angola
42249,6582,0,35666,0,0.27,0.73,Empowerment of young people,argentina,2019,Argentina
318406,160672,0,157734,0,0.02,0.98,Gender equality and empowerment of women and girls,argentina,2019,Argentina
87201,87201,0,0,0,0.62,0.38,Population and development,argentina,2019,Argentina
253315,226504,9200,17611,0,0.75,0.25,Utilization of sexual and reproductive health services,argentina,2019,Argentina
82949,82949,0,0,0,1.0,1.01,Empowerment of young people,armenia,2019,Armenia
257403,243119,0,14284,0,0.46,0.54,Gender equality and empowerment of women and girls,armenia,2019,Armenia
184009,184009,0,0,0,1.0,0.96,Population and development,armenia,2019,Armenia
219507,219507,0,0,0,1.0,0.98,Utilization of sexual and reproductive health services,armenia,2019,Armenia
280164,280164,0,0,0,0.58,0.42,Gender equality and empowerment of women and girls,azerbaijan,2019,Azerbaijan
178698,178698,0,0,0,0.96,0.04,Population and development,azerbaijan,2019,Azerbaijan
341501,341501,0,0,0,1.0,0.0,Utilization of sexual and reproductive health services,azerbaijan,2019,Azerbaijan
4193590,1325575,409928,2458087,0,0.18,0.82,Empowerment of young people,bangladesh,2019,Bangladesh
7930039,3174357,354195,4401486,0,0.14,0.86,Gender equality and empowerment of women and girls,bangladesh,2019,Bangladesh
914829,611901,302928,0,0,0.95,0.05,Population and development,bangladesh,2019,Bangladesh
20221845,5388012,1850507,12983327,0,0.08,0.92,Utilization of sexual and reproductive health services,bangladesh,2019,Bangladesh
6491,6491,0,0,0,1.0,0.0,Empowerment of young people,belarus,2019,Belarus
400497,386857,0,13640,0,0.45,0.55,Gender equality and empowerment of women and girls,belarus,2019,Belarus
68601,68601,0,0,0,1.0,0.0,Population and development,belarus,2019,Belarus
255667,255667,0,0,0,0.61,0.39,Utilization of sexual and reproductive health services,belarus,2019,Belarus
2105244,1029407,417416,562829,95593,0.02,0.98,Empowerment of young people,benin,2019,Benin
226563,17174,115344,51371,42674,0.02,0.98,Gender equality and empowerment of women and girls,benin,2019,Benin
438342,338345,40409,56281,3308,0.87,0.13,Population and development,benin,2019,Benin
2529487,1403293,573506,523232,29455,0.46,0.54,Utilization of sexual and reproductive health services,benin,2019,Benin
293002,129549,80201,83253,0,1.0,0.0,Empowerment of young people,bhutan,2019,Bhutan
3013,3013,0,0,0,1.0,0.0,Gender equality and empowerment of women and girls,bhutan,2019,Bhutan
254621,69287,172264,13070,0,0.96,0.04,Utilization of sexual and reproductive health services,bhutan,2019,Bhutan
1100631,703993,183038,213600,0,0.24,0.76,Empowerment of young people,bolivia,2019,Bolivia (Plurinational State of)
1073808,618504,155176,300128,0,0.08,0.92,Gender equality and empowerment of women and girls,bolivia,2019,Bolivia (Plurinational State of)
540399,370048,170351,0,0,0.61,0.39,Population and development,bolivia,2019,Bolivia (Plurinational State of)
1298910,721744,175076,402090,0,0.22,0.78,Utilization of sexual and reproductive health services,bolivia,2019,Bolivia (Plurinational State of)
36195,5412,0,30783,0,0.85,0.15,Empowerment of young people,bosnia-herzegovina,2019,Bosnia and Herzegovina
442223,174057,0,118569,149598,0.1,0.9,Gender equality and empowerment of women and girls,bosnia-herzegovina,2019,Bosnia and Herzegovina
173656,172820,0,836,0,0.88,0.12,Population and development,bosnia-herzegovina,2019,Bosnia and Herzegovina
567267,375710,0,191557,0,0.99,0.01,Utilization of sexual and reproductive health services,bosnia-herzegovina,2019,Bosnia and Herzegovina
407259,369739,0,37520,0,0.59,0.41,Empowerment of young people,botswana,2019,Botswana
41770,41770,0,0,0,1.0,0.0,Population and development,botswana,2019,Botswana
501058,501058,0,0,0,0.49,0.51,Utilization of sexual and reproductive health services,botswana,2019,Botswana
397906,290313,0,11679,95913,0.02,0.98,Empowerment of young people,brazil,2019,Brazil
895363,333364,0,206187,355813,0.23,0.77,Gender equality and empowerment of women and girls,brazil,2019,Brazil
438580,380661,0,0,57919,0.46,0.54,Population and development,brazil,2019,Brazil
1300850,893145,0,131589,276116,0.81,0.19,Utilization of sexual and reproductive health services,brazil,2019,Brazil
717662,257147,169683,290833,0,0.13,0.87,Empowerment of young people,burkina-faso,2019,Burkina Faso
1493819,415809,274480,464190,339340,0.03,0.97,Gender equality and empowerment of women and girls,burkina-faso,2019,Burkina Faso
6743184,6411380,157509,174295,0,0.0,1.0,Population and development,burkina-faso,2019,Burkina Faso
5545283,2910066,2124297,510920,0,0.38,0.62,Utilization of sexual and reproductive health services,burkina-faso,2019,Burkina Faso
1714613,1028814,0,685799,0,0.18,0.82,Empowerment of young people,burundi,2019,Burundi
618270,305206,85084,227980,0,0.27,0.73,Gender equality and empowerment of women and girls,burundi,2019,Burundi
2442004,1898181,523861,19961,0,0.47,0.53,Utilization of sexual and reproductive health services,burundi,2019,Burundi
522595,522595,0,0,0,1.0,0.0,Utilization of sexual and reproductive health services,cabo-verde,2019,Cabo Verde
159158,112112,40941,6105,0,0.98,0.02,Empowerment of young people,cambodia,2019,Cambodia
30377,0,30390,0,0,1.0,0.0,Gender equality and empowerment of women and girls,cambodia,2019,Cambodia
10214,6196,4018,0,0,1.0,0.0,Organizational effectiveness and efficiency,cambodia,2019,Cambodia
390465,301504,88961,0,0,0.89,0.11,Population and development,cambodia,2019,Cambodia
1094104,617472,476632,0,0,0.94,0.06,Utilization of sexual and reproductive health services,cambodia,2019,Cambodia
518943,367153,103250,48540,0,0.25,0.75,Empowerment of young people,cameroon,2019,Cameroon
