Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
13551366,7061759,0,6489607,0,0.15,0.85,Ending gender-based violence and harmful practices,afghanistan,2022,Afghanistan
33499141,13731402,0,19767740,0,0.11,0.89,Ending preventable maternal deaths,afghanistan,2022,Afghanistan
2863237,1599523,0,1263713,0,0.11,0.89,Ending the unmet need for family planning,afghanistan,2022,Afghanistan
529313,334554,13293,181466,0,0.6,0.4,Ending gender-based violence and harmful practices,albania,2022,Albania
16262,5251,684,10327,0,1.0,0.0,Ending preventable maternal deaths,albania,2022,Albania
347048,213876,11022,122150,0,0.75,0.25,Ending the unmet need for family planning,albania,2022,Albania
448560,325328,50792,12234,60207,0.76,0.24,Ending gender-based violence and harmful practices,algeria,2022,Algeria
42936,16065,25321,1549,0,1.0,0.0,Ending preventable maternal deaths,algeria,2022,Algeria
191191,146155,38138,6898,0,1.0,0.0,Ending the unmet need for family planning,algeria,2022,Algeria
1704542,1523344,117602,63597,0,0.56,0.44,Ending gender-based violence and harmful practices,angola,2022,Angola
856050,523328,62211,270511,0,0.08,0.92,Ending preventable maternal deaths,angola,2022,Angola
2008423,1808196,136699,63527,0,0.64,0.36,Ending the unmet need for family planning,angola,2022,Angola
522162,300732,0,221430,0,0.46,0.54,Ending gender-based violence and harmful practices,argentina,2022,Argentina
189311,116492,0,72819,0,0.84,0.16,Ending preventable maternal deaths,argentina,2022,Argentina
498914,325543,0,173371,0,0.75,0.25,Ending the unmet need for family planning,argentina,2022,Argentina
1055560,710940,0,344621,0,0.29,0.71,Ending gender-based violence and harmful practices,armenia,2022,Armenia
157992,157992,0,0,0,1.0,0.0,Ending preventable maternal deaths,armenia,2022,Armenia
215155,215155,0,0,0,1.0,0.0,Ending the unmet need for family planning,armenia,2022,Armenia
776750,754854,0,0,21896,0.38,0.62,Ending gender-based violence and harmful practices,azerbaijan,2022,Azerbaijan
143118,143118,0,0,0,1.0,0.0,Ending preventable maternal deaths,azerbaijan,2022,Azerbaijan
274408,274408,0,0,0,1.0,0.0,Ending the unmet need for family planning,azerbaijan,2022,Azerbaijan
21242511,5264271,172289,15580464,225486,0.15,0.85,Ending gender-based violence and harmful practices,bangladesh,2022,Bangladesh
19738396,5999325,2718078,11220276,0,0.11,0.89,Ending preventable maternal deaths,bangladesh,2022,Bangladesh
6960414,3194831,922498,2634775,208310,0.1,0.9,Ending the unmet need for family planning,bangladesh,2022,Bangladesh
1156482,1105422,36034,15026,0,0.39,0.61,Ending gender-based violence and harmful practices,belarus,2022,Belarus
149957,143743,3511,2703,0,0.54,0.46,Ending preventable maternal deaths,belarus,2022,Belarus
259433,247035,10777,1621,0,0.19,0.81,Ending the unmet need for family planning,belarus,2022,Belarus
2101815,949573,521630,570740,59872,0.05,0.95,Ending gender-based violence and harmful practices,benin,2022,Benin
1937790,1492431,311533,133825,0,0.56,0.44,Ending preventable maternal deaths,benin,2022,Benin
2969767,1280293,605285,1012707,71482,0.29,0.71,Ending the unmet need for family planning,benin,2022,Benin
45447,490,44957,0,0,0.01,0.99,Ending gender-based violence and harmful practices,bhutan,2022,Bhutan
95509,75974,19535,0,0,1.0,0.0,Ending preventable maternal deaths,bhutan,2022,Bhutan
682475,317986,239459,125030,0,0.92,0.08,Ending the unmet need for family planning,bhutan,2022,Bhutan
2323367,1613220,219817,490331,0,0.21,0.79,Ending gender-based violence and harmful practices,bolivia,2022,Bolivia (Plurinational State of)
260418,202700,10633,47086,0,0.61,0.39,Ending preventable maternal deaths,bolivia,2022,Bolivia (Plurinational State of)
2938224,2094379,166607,677238,0,0.27,0.73,Ending the unmet need for family planning,bolivia,2022,Bolivia (Plurinational State of)
